year,cwsi,stress_class,streamflow,drought,groundwater
2000,0.319,Moderate,0.1087378640776699,0.9117752647639562,0.033057851239669284
2001,0.224,Low,0.12815533980582525,0.6190989050439778,0.0
2002,0.457,Moderate,0.49902912621359224,0.9768443726440496,0.03581267217630841
2003,0.466,Moderate,0.48058252427184467,1.0,0.05509641873278232
2004,0.327,Moderate,0.3271844660194175,0.6813857476216119,0.06060606060606058
2005,0.239,Low,0.2650485436893204,0.40163345898402447,0.096418732782369
2006,0.514,High,0.8961165048543689,0.6169448931969126,0.14974419519874066
2007,0.525,High,1.0,0.47890863399748707,0.204250295159386
2008,0.459,Moderate,0.7582524271844661,0.47908813498474245,0.22058244785517503
2009,0.261,Moderate,0.27475728155339807,0.27221324717285944,0.24124360487996838
2010,0.109,Low,0.07961165048543689,0.013193322563274101,0.2018890200708381
2011,0.16,Low,0.0,0.31412672769700223,0.16509248327430148
2012,0.598,High,0.7883495145631068,0.9831269071979896,0.16646989374262092
2013,0.337,Moderate,0.2766990291262136,0.6169448931969126,0.17119244391971672
2014,0.279,Moderate,0.03203883495145631,0.6195476575121164,0.2081857536402991
2015,0.639,High,0.0912621359223301,0.705618380901095,1.0
2016,0.193,Low,0.001941747572815534,0.5647101059055825,0.0580480125934672
2017,0.221,Low,0.09805825242718447,0.554478549632023,0.06277056277056274
2018,0.173,Low,0.0,0.4652665589660744,0.08264462809917363
2019,0.051,Low,0.002912621359223301,0.0,0.12554112554112548
2020,0.148,Low,0.037864077669902914,0.2815472985101417,0.13065722156631251
2021,0.414,Moderate,0.3553398058252427,0.8143959791778854,0.15859897678079504
2022,0.507,High,0.6990291262135923,0.7560581583198708,0.17709563164108594
2023,0.338,Moderate,0.07961165048543689,0.732992281457548,0.23671782762691831
2024,0.392,Moderate,0.4524271844660194,0.49676898222940236,0.26839826839826847
