year,days_flowing,days_total,reliability,site_no,station_name,reservation
2000,366,366,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2001,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2002,297,365,0.8136986301369863,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2003,319,365,0.873972602739726,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2004,355,366,0.9699453551912568,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2005,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2006,266,365,0.7287671232876712,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2007,180,365,0.4931506849315068,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2008,245,366,0.6693989071038251,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2009,349,365,0.9561643835616438,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2010,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2011,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2012,278,366,0.7595628415300546,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2013,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2014,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2015,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2016,366,366,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2017,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2018,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2019,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2020,366,366,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2021,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2022,351,365,0.9616438356164384,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2023,365,365,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2024,366,366,1.0,06445685,White River near Nebraska-South Dakota state line,Pine Ridge
2000,365,366,0.9972677595628415,06446000,"White River near Oglala, SD",Pine Ridge
2001,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2002,257,365,0.7041095890410959,06446000,"White River near Oglala, SD",Pine Ridge
2003,310,365,0.8493150684931506,06446000,"White River near Oglala, SD",Pine Ridge
2004,359,366,0.9808743169398907,06446000,"White River near Oglala, SD",Pine Ridge
2005,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2006,212,365,0.5808219178082191,06446000,"White River near Oglala, SD",Pine Ridge
2007,220,365,0.6027397260273972,06446000,"White River near Oglala, SD",Pine Ridge
2008,196,366,0.5355191256830601,06446000,"White River near Oglala, SD",Pine Ridge
2009,348,365,0.9534246575342465,06446000,"White River near Oglala, SD",Pine Ridge
2010,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2011,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2012,249,366,0.680327868852459,06446000,"White River near Oglala, SD",Pine Ridge
2013,360,365,0.9863013698630136,06446000,"White River near Oglala, SD",Pine Ridge
2014,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2015,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2016,366,366,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2017,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2018,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2019,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2020,366,366,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2021,342,365,0.936986301369863,06446000,"White River near Oglala, SD",Pine Ridge
2022,299,365,0.8191780821917808,06446000,"White River near Oglala, SD",Pine Ridge
2023,365,365,1.0,06446000,"White River near Oglala, SD",Pine Ridge
2024,319,366,0.8715846994535519,06446000,"White River near Oglala, SD",Pine Ridge
