year,scenario,mean_tmax_f,heat_stress_days,extreme_heat_days,annual_precip_mm,dry_days,heavy_precip_days
2006,rcp45,61.240638500000045,0,0,686.8417276,0,8
2007,rcp45,62.91807650000005,0,0,342.55440120000003,0,7
2008,rcp45,62.94142850000002,0,0,483.04993980000006,0,7
2009,rcp45,67.98762650000002,0,0,586.974607,0,6
2010,rcp45,60.42116900000004,0,0,517.4647558,0,8
2011,rcp45,59.50880150000001,0,0,638.3756204,0,9
2012,rcp45,66.62337950000003,0,0,418.109952,0,6
2013,rcp45,64.04226650000005,0,0,868.7995169999999,0,8
2014,rcp45,66.36113900000005,0,0,681.8285872,0,8
2015,rcp45,64.12110500000006,0,0,542.0606939999999,0,6
2016,rcp45,66.38631200000003,0,0,498.14110800000003,0,8
2017,rcp45,62.94537950000005,0,0,418.008719,0,5
2018,rcp45,66.49136600000004,0,0,541.3276113,0,8
2019,rcp45,63.83219000000003,0,0,506.210101,0,9
2020,rcp45,61.653320000000036,0,0,502.73715300000003,0,8
2021,rcp45,63.35532500000004,0,0,518.3575169999999,0,6
2022,rcp45,67.15140200000003,0,0,503.5046743,0,7
2023,rcp45,66.15651050000005,0,0,411.81366380000003,0,7
2024,rcp45,65.09979800000004,0,0,516.9089261999999,1,6
2025,rcp45,63.78462200000002,0,0,644.25239,0,6
2026,rcp45,64.28387900000004,0,0,502.10255099999995,0,7
2027,rcp45,63.98956100000003,0,0,586.7095186,0,7
2028,rcp45,65.03635400000003,0,0,497.0473136,0,7
2029,rcp45,68.24850200000002,0,0,420.66284734,1,5
2030,rcp45,66.61365350000004,0,0,333.4907997,0,6
2031,rcp45,63.62864300000003,0,0,459.51517620000004,0,7
2032,rcp45,68.64946550000003,0,0,505.3580544,0,5
2033,rcp45,66.06283400000002,0,0,542.1183363,0,7
2034,rcp45,65.58864800000006,0,0,589.5146493999999,0,5
2035,rcp45,61.07678450000005,0,0,755.240666,0,9
2036,rcp45,66.30699350000002,0,0,491.39041199999997,0,8
2037,rcp45,65.21393600000002,0,0,479.2571311,0,8
2038,rcp45,64.87708550000004,0,0,625.9828269999999,0,8
2039,rcp45,67.28648000000004,0,0,396.7620281,0,7
2040,rcp45,67.46527550000005,0,0,516.8271517,0,7
2041,rcp45,65.55828950000004,0,0,473.6377895,0,7
2042,rcp45,64.86372950000005,0,0,444.5698415,0,7
2043,rcp45,60.93909350000002,0,0,585.6986833,0,8
2044,rcp45,66.35246750000003,0,0,446.34833240000006,0,5
2045,rcp45,66.75486500000005,0,0,368.4493809,0,5
2046,rcp45,66.83278550000004,0,0,553.522031,0,8
2047,rcp45,63.64202750000004,0,0,459.037233,0,7
2048,rcp45,65.93198900000004,0,0,456.52854859999997,0,5
2049,rcp45,69.79206500000004,0,0,594.7317975999999,0,7
2050,rcp45,68.08012700000005,0,0,440.37614099999996,0,7
2051,rcp45,66.25871750000003,0,0,551.416535,0,7
2052,rcp45,67.65421250000004,0,0,524.9139163,0,7
2053,rcp45,66.49252250000002,0,0,473.68192709999994,1,7
2054,rcp45,65.12445500000005,0,0,610.8538567,0,6
2055,rcp45,64.35667100000002,0,0,672.6482259999999,0,7
2056,rcp45,66.36251450000005,0,0,460.3426352,0,7
2057,rcp45,67.67769800000003,0,0,467.965012,0,4
2058,rcp45,66.71558750000003,0,0,695.9932915,0,8
2059,rcp45,66.29275700000005,0,0,382.97484227,1,7
2060,rcp45,66.05352800000003,0,0,454.3074042000001,0,5
2061,rcp45,63.262058000000046,0,0,568.6313068000001,0,9
2062,rcp45,68.85297800000005,0,0,554.4993127,0,9
2063,rcp45,69.06931400000003,0,0,659.3407376000001,0,7
2064,rcp45,65.90913350000004,0,0,488.4906577,0,7
2065,rcp45,69.58056500000005,0,0,629.6515277000001,0,8
2066,rcp45,68.57096750000004,0,0,408.5350222,0,7
2067,rcp45,66.41381600000004,0,0,746.8961930000002,0,9
2068,rcp45,65.08629350000004,0,0,615.812045,0,7
2069,rcp45,66.04675100000007,0,0,380.72033960000005,1,6
2070,rcp45,64.70513900000006,0,0,649.9780846,0,7
2071,rcp45,68.86726400000005,0,0,647.5325057,0,8
2072,rcp45,68.23908950000003,0,0,399.0205743,1,5
2073,rcp45,70.39584800000006,0,0,375.5802003,0,8
2074,rcp45,66.52928600000003,0,0,467.7287495,0,8
2075,rcp45,64.54478300000004,0,0,516.218927,0,8
2076,rcp45,69.57291350000004,0,0,418.37074690000003,0,6
2077,rcp45,67.90223900000005,0,0,296.7203668,0,5
2078,rcp45,68.81213750000006,0,0,631.831297,0,8
2079,rcp45,66.99298850000004,0,0,535.102826,0,8
2080,rcp45,66.15401150000004,1,0,427.8462852,0,4
2081,rcp45,67.70626700000004,0,0,994.268211,0,9
2082,rcp45,68.83361000000002,0,0,539.2828652,0,9
2083,rcp45,67.44938300000004,0,0,431.600797,1,8
2084,rcp45,67.76876300000002,0,0,392.6898346,0,7
2085,rcp45,65.27529800000002,0,0,595.3130064000001,0,8
2086,rcp45,66.22944500000001,0,0,576.5410860000001,0,8
2087,rcp45,67.12011650000005,0,0,786.1680020000001,0,8
2088,rcp45,67.06725650000004,0,0,420.5007753,0,6
2089,rcp45,65.99821850000004,0,0,811.3569609999998,0,8
2090,rcp45,68.68779650000003,0,0,695.7061132,0,7
2091,rcp45,68.26657100000004,0,0,494.55297499999995,0,8
2092,rcp45,68.59222850000006,0,0,400.91914720000005,0,6
2093,rcp45,67.51374500000003,0,0,546.9387423000001,0,9
2094,rcp45,69.37621700000004,0,0,489.5436231,0,7
2095,rcp45,67.11226100000003,0,0,550.9166544999999,0,7
2096,rcp45,67.59153500000004,0,0,599.794628,0,8
2097,rcp45,70.14292700000003,0,0,424.07419080000005,0,9
2098,rcp45,66.71155250000002,0,0,410.7950897,0,7
2099,rcp45,69.60161600000005,0,0,380.51014430000004,0,8
