division,div_name,year,month,date,pdsi,nation,drought_class
6,East Central,2000,1,2000-01-01,4.85,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,2,2000-02-01,4.35,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,3,2000-03-01,3.66,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,4,2000-04-01,3.78,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,5,2000-05-01,3.54,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,6,2000-06-01,3.03,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,7,2000-07-01,2.69,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,8,2000-08-01,1.94,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,9,2000-09-01,0.86,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,10,2000-10-01,0.7,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,11,2000-11-01,1.09,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2000,12,2000-12-01,0.97,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2001,1,2001-01-01,1.29,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2001,2,2001-02-01,1.67,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2001,3,2001-03-01,1.07,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2001,4,2001-04-01,1.99,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2001,5,2001-05-01,2.11,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2001,6,2001-06-01,1.86,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2001,7,2001-07-01,2.87,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2001,8,2001-08-01,-0.76,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2001,9,2001-09-01,-0.4,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2001,10,2001-10-01,-0.47,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2001,11,2001-11-01,-0.34,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2001,12,2001-12-01,-0.67,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2002,1,2002-01-01,-0.7,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2002,2,2002-02-01,-1.04,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2002,3,2002-03-01,-1.21,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2002,4,2002-04-01,-1.69,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2002,5,2002-05-01,-2.27,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2002,6,2002-06-01,-3.4,Rosebud (Sicangu Lakota),Severe drought
6,East Central,2002,7,2002-07-01,-4.14,Rosebud (Sicangu Lakota),Extreme drought
6,East Central,2002,8,2002-08-01,-3.19,Rosebud (Sicangu Lakota),Severe drought
6,East Central,2002,9,2002-09-01,-2.86,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2002,10,2002-10-01,-2.36,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2002,11,2002-11-01,-2.58,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2002,12,2002-12-01,-2.58,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2003,1,2003-01-01,-2.23,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2003,2,2003-02-01,-1.9,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2003,3,2003-03-01,-2.24,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2003,4,2003-04-01,-1.84,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2003,5,2003-05-01,-1.43,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2003,6,2003-06-01,-1.21,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2003,7,2003-07-01,-1.72,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2003,8,2003-08-01,-2.6,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2003,9,2003-09-01,-2.61,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2003,10,2003-10-01,-2.79,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2003,11,2003-11-01,-2.32,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2003,12,2003-12-01,-2.4,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2004,1,2004-01-01,-2.31,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2004,2,2004-02-01,-2.35,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2004,3,2004-03-01,-1.8,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2004,4,2004-04-01,-2.65,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2004,5,2004-05-01,0.18,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2004,6,2004-06-01,0.3,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2004,7,2004-07-01,0.35,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2004,8,2004-08-01,0.56,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2004,9,2004-09-01,2.51,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2004,10,2004-10-01,3.42,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2004,11,2004-11-01,2.88,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2004,12,2004-12-01,2.28,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2005,1,2005-01-01,2.04,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2005,2,2005-02-01,1.72,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2005,3,2005-03-01,1.23,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2005,4,2005-04-01,1.27,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2005,5,2005-05-01,1.96,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2005,6,2005-06-01,2.57,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2005,7,2005-07-01,-0.24,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2005,8,2005-08-01,-0.63,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2005,9,2005-09-01,-0.64,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2005,10,2005-10-01,-0.98,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2005,11,2005-11-01,-0.78,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2005,12,2005-12-01,-0.59,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2006,1,2006-01-01,-0.6,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2006,2,2006-02-01,-0.77,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2006,3,2006-03-01,-0.47,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2006,4,2006-04-01,-1.03,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2006,5,2006-05-01,-2.28,Rosebud (Sicangu Lakota),Moderate drought
6,East Central,2006,6,2006-06-01,-3.49,Rosebud (Sicangu Lakota),Severe drought
6,East Central,2006,7,2006-07-01,-4.87,Rosebud (Sicangu Lakota),Extreme drought
6,East Central,2006,8,2006-08-01,0.44,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2006,9,2006-09-01,1.44,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2006,10,2006-10-01,0.83,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2006,11,2006-11-01,0.52,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2006,12,2006-12-01,0.48,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,1,2007-01-01,0.13,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,2,2007-02-01,0.25,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,3,2007-03-01,0.54,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,4,2007-04-01,0.56,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,5,2007-05-01,1.22,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,6,2007-06-01,1.41,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,7,2007-07-01,-0.93,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2007,8,2007-08-01,1.11,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,9,2007-09-01,0.75,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,10,2007-10-01,2.26,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2007,11,2007-11-01,-0.39,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2007,12,2007-12-01,-0.25,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2008,1,2008-01-01,-0.37,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2008,2,2008-02-01,-0.47,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2008,3,2008-03-01,-0.54,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2008,4,2008-04-01,-0.67,Rosebud (Sicangu Lakota),Mild drought
6,East Central,2008,5,2008-05-01,0.88,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2008,6,2008-06-01,2.39,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2008,7,2008-07-01,3.52,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2008,8,2008-08-01,3.4,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2008,9,2008-09-01,3.91,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2008,10,2008-10-01,4.29,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2008,11,2008-11-01,4.38,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2008,12,2008-12-01,4.38,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,1,2009-01-01,3.93,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,2,2009-02-01,4.4,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,3,2009-03-01,4.72,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,4,2009-04-01,4.56,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,5,2009-05-01,3.48,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,6,2009-06-01,3.45,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,7,2009-07-01,4.34,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,8,2009-08-01,5.7,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,9,2009-09-01,5.01,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,10,2009-10-01,6.95,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,11,2009-11-01,5.94,Rosebud (Sicangu Lakota),Near-normal or wet
6,East Central,2009,12,2009-12-01,6.08,Rosebud (Sicangu Lakota),Near-normal or wet
