year,annual_7q_min,emergency_days,network_reliability
2000,14.686666666666667,291,0.9667577413479053
2001,12.788461538461538,341,0.9675447839831401
2002,10.852857142857143,813,0.9135029354207437
2003,8.715714285714286,860,0.912133072407045
2004,7.032857142857144,650,0.9613583138173302
2005,8.98,560,0.9575342465753425
2006,8.301428571428572,1312,0.8579256360078278
2007,9.053571428571429,1409,0.8669275929549902
2008,11.336428571428572,1080,0.8844652615144418
2009,11.752857142857142,447,0.9767123287671232
2010,14.186428571428573,187,0.9939334637964775
2011,24.884999999999998,65,1.0
2012,8.23857142857143,1137,0.8565573770491802
2013,12.347142857142858,510,0.9763209393346379
2014,22.364285714285717,185,0.9968688845401175
2015,31.701428571428572,146,0.9890410958904109
2016,18.51571428571429,202,0.9929742388758782
2017,15.197857142857142,308,0.9839089481946625
2018,22.257857142857144,160,0.9861056751467709
2019,37.887142857142855,46,0.9992172211350293
2020,22.917857142857144,99,0.9976580796252927
2021,14.687142857142858,546,0.9720156555772995
2022,12.157857142857143,988,0.9248532289628181
2023,20.472857142857144,162,0.9974559686888453
2024,12.700714285714286,692,0.9437939110070257
