date,nitrate_mgl,MonitoringLocationIdentifier,ph,tds_mgl,turbidity_ntu,arsenic_ugl,fluoride_mgl,nitrate_mgl_alert,arsenic_ugl_alert,tds_mgl_alert,ph_alert,turbidity_ntu_alert,fluoride_mgl_alert,any_alert
2000-01-12,,SDDENR_WQX-460835,8.92,,,,,False,False,False,True,False,False,True
2000-01-13,,SDDENR_WQX-460111,8.27,,,,,False,False,False,False,False,False,False
2000-01-13,,SDDENR_WQX-460650,8.27,,,,,False,False,False,False,False,False,False
2000-01-13,,SDDENR_WQX-460651,8.13,,,,,False,False,False,False,False,False,False
2000-01-20,,SDDENR_WQX-460132,8.23,,,,,False,False,False,False,False,False,False
2000-01-20,,SDDENR_WQX-460657,8.26,,,,,False,False,False,False,False,False,False
2000-01-20,,SDDENR_WQX-460842,8.33,,,,,False,False,False,False,False,False,False
2000-02-07,,SDDENR_WQX-460132,8.17,,,,,False,False,False,False,False,False,False
2000-02-22,,SDDENR_WQX-460835,8.59,,,,,False,False,False,True,False,False,True
2000-03-14,,SDDENR_WQX-460132,8.17,,,,,False,False,False,False,False,False,False
2000-03-21,,SDDENR_WQX-460835,8.44,,,,,False,False,False,False,False,False,False
2000-04-06,,SDDENR_WQX-460132,8.19,,,,,False,False,False,False,False,False,False
2000-04-06,,SDDENR_WQX-460657,8.11,,,,,False,False,False,False,False,False,False
2000-04-06,,SDDENR_WQX-460842,8.31,,,,,False,False,False,False,False,False,False
2000-04-11,,SDDENR_WQX-460111,8.19,,,,,False,False,False,False,False,False,False
2000-04-11,,SDDENR_WQX-460650,8.06,,,,,False,False,False,False,False,False,False
2000-04-11,,SDDENR_WQX-460651,8.0,,,,,False,False,False,False,False,False,False
2000-04-17,,SDDENR_WQX-460835,8.66,,,,,False,False,False,True,False,False,True
2000-05-15,0.08,OGLALAST-CC1,,,,0.012,0.5,False,False,False,False,False,False,False
2000-05-15,0.08,OGLALAST-CC1,,,,0.012,0.3,False,False,False,False,False,False,False
2000-05-15,0.08,OGLALAST-CC1,,,,0.012,0.5,False,False,False,False,False,False,False
2000-05-15,0.08,OGLALAST-CC1,,,,0.012,0.3,False,False,False,False,False,False,False
2000-05-15,,OGLALAST-CC1,,,,0.012,0.5,False,False,False,False,False,False,False
2000-05-15,,OGLALAST-CC1,,,,0.012,0.3,False,False,False,False,False,False,False
2000-05-15,,OGLALAST-CC1,,,,0.012,0.5,False,False,False,False,False,False,False
2000-05-15,,OGLALAST-CC1,,,,0.012,0.3,False,False,False,False,False,False,False
2000-05-15,,OGLALAST-CR1,,,,,0.4,False,False,False,False,False,False,False
2000-05-15,,OGLALAST-CR2,,,,,0.6,False,False,False,False,False,False,False
2000-05-16,,SDDENR_WQX-460835,8.33,,,,,False,False,False,False,False,False,False
2000-05-22,,SDDENR_WQX-460132,8.33,,,,,False,False,False,False,False,False,False
2000-06-15,,COEOMAHA_WQX-CODLKND1,7.94,,,,,False,False,False,False,False,False,False
2000-06-15,,COEOMAHA_WQX-CODLKND1,8.3,,,,,False,False,False,False,False,False,False
2000-06-15,,COEOMAHA_WQX-CODLKND1,8.5,,,,,False,False,False,False,False,False,False
2000-06-15,,COEOMAHA_WQX-CODRL1,8.2,,,,,False,False,False,False,False,False,False
2000-06-19,,SDDENR_WQX-460835,8.47,,,,,False,False,False,False,False,False,False
2000-06-28,,SDDENR_WQX-460132,8.39,,,,,False,False,False,False,False,False,False
2000-07-11,,NARS-WSDP99-0501,8.5,,155.0,,,False,False,False,False,True,False,True
2000-07-11,,NARS-WSDP99-0522,8.27,,207.0,,,False,False,False,False,True,False,True
2000-07-11,28.6,NARS_WQX-WSDP99-0501,8.5,,155.0,,,True,False,False,False,True,False,True
2000-07-11,38.6,NARS_WQX-WSDP99-0522,8.27,,207.0,,,True,False,False,False,True,False,True
2000-07-12,34.3,NARS_WQX-WSDP99-0541,8.43,,147.0,,,True,False,False,False,True,False,True
2000-07-12,,SDDENR_WQX-460132,7.97,,,,,False,False,False,False,False,False,False
2000-07-12,,SDDENR_WQX-460657,7.96,,,,,False,False,False,False,False,False,False
2000-07-12,,SDDENR_WQX-460842,8.06,,,,,False,False,False,False,False,False,False
2000-07-13,,NARS-WSDP99-0523,9.04,,26.6,,,False,False,False,True,True,False,True
2000-07-13,,NARS-WSDP99-0541,8.43,,147.0,,,False,False,False,False,True,False,True
